n,gauss_no_pivot_sec,gauss_pivot_sec,lu_decomposition_sec,lu_solve_sec,lu_total_sec,residual_gauss_no_pivot,residual_gauss_pivot,residual_lu
100,0.001042999792844057,0.0012296000495553017,0.0008535999804735184,0.0002117999829351902,0.0010653999634087086,2.217978117807437e-15,2.217978117807437e-15,1.98032190546348e-15
200,0.0051692998968064785,0.00547760003246367,0.004138299962505698,0.0004126999992877245,0.004550999961793423,5.173426079625009e-15,5.173426079625009e-15,4.005225902631405e-15
500,0.13771829986944795,0.13204259984195232,0.13445440004579723,0.0013248000759631395,0.13577920012176037,1.1409807666880529e-14,1.1409807666880529e-14,8.08158960668256e-15
1000,1.1043352000415325,1.0553572000935674,1.0619736001826823,0.0030652000568807125,1.065038800239563,2.299324343917526e-14,2.299324343917526e-14,1.5992016526898465e-14
